idname,roottype,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
52,primaryroot,4,4,4,4,4,4,4,4,4,4,4,4,5,5,1.84541746,2.02589016,2.13051764,2.95488679,3.27204927,5.25207039,6.80233541,6.26181843,5.63371313,7.29659464,6.59914681,6.02598313,12.8026515,12.8026515
52,sum_root,4,4,4,6,7,12,17,23,29,30,48,66,73,73,1.84541746,2.02589016,2.13051764,3.005009714,3.311674941,5.781760263,8.943886776,9.703910795,9.624203873,14.3949091,17.36340923,28.15311732,58.51152919,58.51152919
53,Lateralroot,0,0,0,7,9,8,10,12,13,19,24,24,28,38,0,0,0,2.015519825,4.252922275,7.31455125,7.814178396,16.89356164,22.47948004,29.43680735,32.03111635,37.4226941,56.09511581,64.96595407
53,primaryroot,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2.80125144,3.0116965,6.2386196,8.7267942,13.6865712,15.3654605,13.2415767,19.497873,19.976897,19.863597,18.838374,21.9738068,31.9357821,31.88925304
53,sum_root,2,2,2,9,11,10,12,14,15,21,26,25,31,41,2.80125144,3.0116965,6.2386196,10.74231403,17.93949348,22.68001175,21.0557551,36.39143464,42.45637704,49.30040435,50.86949035,59.3965009,88.03089791,96.85520711
53,Lateralroot,0,0,0,3,5,8,8,12,12,19,29,31,36,39,0,0,0,1.29743199,1.189927405,2.872496436,3.373693415,8.14831098,10.19841451,12.71667732,18.75154947,24.59544317,28.58828094,36.36896906
53,primaryroot,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.29668555,7.6666695,10.0009413,13.30276,17.382869,19.6015757,23.4623697,25.1916234,29.052048,30.461108,33.056634,34.11702,36.213143,37.924029
53,sum_root,3,3,3,6,8,11,11,15,14,22,32,34,39,42,2.29668555,7.6666695,10.0009413,14.60019199,18.57279641,22.47407214,26.83606312,33.33993438,39.25046251,43.17778532,51.80818347,58.71246317,64.80142394,74.29299806
53,Lateralroot,0,2,7,10,17,17,21,28,29,43,51,55,55,63,0,0.105665304,0.738658926,2.485802538,8.73933013,13.52699051,14.90663028,28.43220653,32.75152955,42.00322262,40.79377195,67.23967566,74.09082776,79.79092587
53,primaryroot,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3.4147812,7.2553625,13.5270222,15.1506408,21.3617921,21.1965727,16.6923428,24.197356,25.1530804,24.8899032,22.449853,36.873467,36.485767,38.233068
53,sum_root,2,5,10,13,20,20,24,31,32,46,54,61,58,66,3.4147812,7.361027804,14.26568113,17.63644334,30.10112223,34.72356321,31.59897308,52.62956253,57.90460995,66.89312582,63.24362495,104.1131427,110.5765948,118.0239939
54,Lateralroot,0,0,1,4,10,15,20,27,28,31,33,33,34,36,0,0,0.13057272,0.4751765,1.379323683,1.320677958,3.256336755,7.927909335,9.3403113,12.72996338,15.76041772,20.85690379,23.0081143,23.31519673
54,primaryroot,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1.9558248,10.15367434,14.62286404,20.9375261,24.367767,29.1443458,35.3203399,38.4234932,40.1603709,45.2249453,49.2595095,49.68692003,51.1584916,50.5204802
54,sum_root,3,5,6,9,15,20,25,32,33,36,38,40,39,41,1.9558248,10.15367434,14.75343676,21.4127026,25.74709068,30.46502376,38.57667666,46.35140254,49.5006822,57.95490868,65.01992722,70.54382382,74.1666059,73.83567693
56,Lateralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,primaryroot,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.24763314,0.65436946,0.77149909,0.93691325,0.87734547,0.8886084,0.85978375,0.81086963,0.91751885,0.89135289,0.80617745,0.83684503,0.84509691,0.79586173
